datetime,symbol,side,entry_type,entry_price,is_entry,is_entry_plan,is_boast,is_fear,is_fear_plan,is_greed,is_stop,is_stop_plan,is_lc,is_lc_plan,is_tp,is_tp_plan
2026.01.03 00:06,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.03 00:12,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.03 00:25,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.03 00:27,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.03 00:27,USDJPY,SELL,LIMIT,156.890,0,0,0,0,0,0,0,0,0,0,0,1
2026.01.03 00:45,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.03 01:02,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.03 01:05,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.03 01:39,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.03 01:58,USDJPY,BUY,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.03 04:21,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,1,0
2026.01.03 08:43,USDJPY,SELL,INSTANT,,1,0,0,0,0,0,0,0,0,0,0,0
2026.01.03 09:25,USDJPY,BUY,LIMIT,156.6,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.03 09:25,USDJPY,SELL,LIMIT,157.5,0,1,0,0,0,0,0,0,0,0,0,0
2026.01.03 09:25,USDJPY,SELL,LIMIT,158.2,0,0,0,0,0,0,0,1,0,0,0,0
2026.01.03 20:43,USDJPY,BUY,INSTANT,,0,0,0,0,0,0,0,0,0,0,1,0
2026.01.03 20:43,USDJPY,SELL,INSTANT,,0,0,0,0,0,0,1,0,0,0,0,0
